id,list_id,titre,prix,devise,ville,secteur,localisation,marque,modele,annee,kilometrage,carburant,boite_vitesses,puissance_fiscale,etat,origine,premiere_main,nombre_portes,equipements,vendeur,type_vendeur,telephone,date_publication,description,url
76995912,57544967,Stellantis - FIAT 500 - 2023,155000,DH,Bouskoura,Bouskoura centre,"Bouskoura, Bouskoura centre",Fiat,500,2023,54800,Essence,Automatique,7 CV,,,,,,SPOTICAR BOUSKOURA,shop,0667776654,2026-05-24T14:48:38Z,Stellantis met en vente une FIAT 500 - 2023 à 155000 DH,https://www.avito.ma/fr/bouskoura_centre/voitures_d_occasion/Stellantis___FIAT_500___2023_57544967.htm
77211483,57748023,Volkswagen Touareg,529000,DH,Casablanca,Al Fida,"Casablanca, Al Fida",Volkswagen,Touareg,2021,143600,Diesel,Automatique,12 CV,Bon,WW au Maroc,Non,5,,Voitures particuliers certifiées,shop,0775921169,2026-05-24T09:19:46Z,"● Volkswagen Touareg - 3.0 V6 TDI 259 R-Line - 143600 km - Année 2021. ● Véhicule en excellent état. ● La voiture a été expertisée suivant 100 points de contrôles. ● Le rapport d’expertise détaillé est disponible, garantissant la qualité et la fiabilité du véhicule. Veuillez nous contacter pour plus d'informations ou pour voir le véhicule.",https://www.avito.ma/fr/al_fida/voitures_d_occasion/Volkswagen_Touareg_57748023.htm
77445776,57963814,Cupra Formentor Diesel Automatique 2024,,,Casablanca,El Manar El Hank,"Casablanca, El Manar El Hank",Cupra,Formentor,2024,134000,Diesel,Automatique,8 CV,Excellent,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Promorent Auto,shop,0608555595,2026-05-24T10:55:10Z,Cupra Formentor Cooper Couleur mat Toit ouvrant Sièges électriques Siège cuir sport Jante aluminium ….,https://www.avito.ma/fr/el_manar_el_hank/voitures_d_occasion/Cupra_Formentor_Diesel_Automatique_2024_57963814.htm
77392735,57915378,Land Rover Range Rover Sport Diesel Automatique,1100000,DH,Casablanca,Californie,"Casablanca, Californie",Land Rover,Range Rover Sport,2024,52000,Diesel,Automatique,12 CV,Très bon,WW au Maroc,Oui,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Gotha Motors,shop,0665170968,2026-05-24T18:31:11Z,GOTHA MOTORS METS EN VENTE RANGE ROVER SPORT POUR PLUS D INFORMATIONS CONTACTEZ NOUS MERCI,https://www.avito.ma/fr/californie/voitures_d_occasion/Land_Rover_Range_Rover_Sport_Diesel_Automatique_57915378.htm
75672018,56379236,VOLKSWAGEN TIGUAN R-LINE 2021 DÉDOUANÉ À TANGER,415000,DH,Tanger,Drissia,"Tanger, Drissia",Volkswagen,Tiguan,2021,145000,Diesel,Automatique,8 CV,Très bon,WW au Maroc,Non,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",OCCASIONS AUTO EXPERT,shop,0767797171,2026-05-24T18:31:51Z,"VOLKSWAGEN TIGUAN R-LINE 2021 142 600 km Diesel Boîte automatique 8 CV DÉDOUANÉ 2024 (MATRICULE E-1) SUV premium au design sportif et élégant, apprécié pour son confort et sa tenue de route. Version R-LINE, offrant un excellent agrément de conduite et une présentation dynamique. Motorisation diesel associée à une boîte automatique fluide et performante. Véhicule très propre, dédouané, bien entretenu et soigneusement sélectionné. État général très satisfaisant, prêt à prendre la route. Visible et disponible pour essai. 🔹 Équipements & options principales : ✔️ 4 vitres électriques ✔️ Rétroviseurs électriques rabattables ✔️ Climatisation automatique bi-zone ✔️ Écran multimédia tactile ✔️ Apple CarPlay / Android Auto ✔️ Bluetooth / USB ✔️ Volant sport multifonctions R-Line ✔️ Régulateur et limiteur de vitesse ✔️ Caméra et radars de recul ✔️ Jantes aluminium R-Line ✔️ Modes de conduite ✔️ Aides à la conduite et sécurité active 💰 Prix de vente : 415 000 DHS",https://www.avito.ma/fr/drissia/voitures_d_occasion/VOLKSWAGEN_TIGUAN_R_LINE_2021_DÉDOUANÉ_À_TANGER_56379236.htm
76310679,56933714,Porsche 718 Boxster Essence Automatique 2025,,,Marrakech,Hivernage,"Marrakech, Hivernage",Porsche,718 Boxster,2025,2000,Essence,Automatique,14 CV,Neuf,WW au Maroc,Oui,3,,SELECT GARANTIE,shop,0661241230,2026-05-24T18:31:29Z,POSCHE BOXTER NEUF W MROC CONTACTER SELECT GARANTIE.,https://www.avito.ma/fr/hivernage/voitures_d_occasion/Porsche_718_Boxster_Essence_Automatique_2025_56933714.htm
77135697,57676753,Range Rover Sport Diesel 2015 pack 2021,295000,DH,Casablanca,Aïn Chock,"Casablanca, Aïn Chock",Land Rover,Range Rover Sport,2015,200000,Diesel,Automatique,12 CV,Excellent,WW au Maroc,,,,LPR - LE PETITE RIDER,shop,0635703051,2026-05-24T18:32:18Z,Range Rover Autobiography 2015 Restyle 2021 Full Options Je mets en vente une magnifique Range Rover Autobiography modele 2015 entierement restylee version 2021 interieur et exterieur avec un rendu identique au nouveau modele Etat general Vehicule tres propre Jamais accidente Tres bien entretenu Mecanique Moteur neuf 190000 km Aucun probleme roule parfaitement Restylage complet 2021 valeur 100000 DH Pare chocs avant et arriere Optiques avant et arriere Transformation complete look 2021 Interieur Salon cuir Maroon Tobacco haut de gamme Ecrans modernes commandes mises a jour Eclairage ambiance original Finitions luxueuses Options et equipements Conduite et performance Suspension pneumatique electronique reglable Terrain Response modes neige sable boue Transmission integrale permanente 4x4 Controle descente Aide demarrage en cote Direction assistee electronique Securite et assistance ABS ESP Airbags avant lateraux rideaux Capteurs stationnement avant arriere Regulateur vitesse adaptatif Confort et luxe Sieges electriques a memoire Sieges chauffants et ventiles avant arriere Sieges massants Volant chauffant Climatisation automatique 4 zones Accoudoirs avant arriere Multimedia et technologie Double ecran tactile systeme Range Rover GPS Navigation Systeme audio Meridian Bluetooth USB AUX Commandes vocales Ecrans arriere passagers Exterieur et design Phares Full LED adaptatifs Feux arriere LED Jantes aluminium Toit panoramique ouvrant Vitres teintees Coffre electrique Marchepieds Eclairage interieur personnalisable Fonctions pratiques Acces confort Demarrage bouton Frein a main electrique Retroviseurs electriques rabattables Hayon electrique Extras 4 pneus neufs Moteur V6 Vignette payee Vehicule pret a rouler aucun frais a prevoir Prix legerement negociable devant le serieux,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Range_Rover_Sport_Diesel_2015_pack_2021_57676753.htm
77354553,57880195,VOLVO C90 COUPÉ COLLECTION,99000,DH,Marrakech,Hivernage,"Marrakech, Hivernage",Volvo,C70,1999,100000,Essence,Automatique,11 CV,Excellent,WW au Maroc,Oui,3,,SELECT GARANTIE,shop,0661241230,2026-05-24T18:27:49Z,Je propose à la vente une Volvo C70 Coupé de collection en excellent état. - Kilométrage : 100 000 km - Année modèle : 1999 - Origine : WW au Maroc - Nombre de portes : 3 - Première main - Puissance fiscale : 11 CV - Carburant : Essence - Boîte de vitesses : Automatique Contactez-moi pour plus d'informations.,https://www.avito.ma/fr/hivernage/voitures_d_occasion/VOLVO_C90_COUPÉ_COLLECTION_57880195.htm
76666569,57246253,Jeep Wrangler Essence Automatique 2011 à Marrakech,,,Marrakech,Hivernage,"Marrakech, Hivernage",Jeep,Wrangler,2011,75000,Essence,Automatique,17 CV,Excellent,Dédouanée,Oui,3,,SELECT GARANTIE,shop,0661241230,2026-05-24T18:29:38Z,JEEP WRANGLER ESSENCE V6 EN EXCELLENT ÉTAT BIEN ENTRETENU PNEUS NEUF BOÎTE AUTOMATIQUE CONTACTEZ SELECT GARANTIE.,https://www.avito.ma/fr/hivernage/voitures_d_occasion/Jeep_Wrangler_Essence_Automatique_2011_à_Marrakech_57246253.htm
67527695,50825048,Ronge Rover Sport Diesel,,,Casablanca,Aïn Chock,"Casablanca, Aïn Chock",Land Rover,Range Rover Sport,2019,120000,Diesel,Automatique,12 CV,Très bon,WW au Maroc,Non,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",os automotive,shop,0661521787,2026-05-24T18:29:04Z,Ronge Rover Sport Diesel toutes options très bonne état modèle 2019/7,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Ronge_Rover_Sport_Diesel_50825048.htm
